job_id,skill_abr
3884439588,RSCH
3884439588,ANLS
3884439588,IT
3884918707,MGMT
3884918707,MNFC
3887718719,DIST
3887718719,MNFC
3887718719,PRDM
3884441312,MGMT
3884441312,MNFC
3884442204,MGMT
3884442204,MNFC
3884443106,IT
3887495643,GENB
3887495643,ANLS
3887495643,CNSL
3887494966,SALE
3887494966,BD
3887712954,BD
3887712954,SALE
3884440851,SALE
3884438596,ENG
3884438596,IT
3887707892,ENG
3887707892,IT
3887497452,IT
3884441313,MGMT
3884441313,MNFC
3884918657,MGMT
3884918657,MNFC
3887700647,IT
3884924308,MGMT
3884924308,MNFC
3884441318,MGMT
3884441318,MNFC
3887721010,MRKT
3887721010,DSGN
3887721010,STRA
3884440685,SALE
3887712320,MRKT
3884921387,MGMT
3884921387,MNFC
3887711360,OTHR
3884937059,SUPL
3884937059,PRCH
3887717893,ADM
3887723091,ADM
3887723091,HCPR
3887723091,CUST
3884435317,HCPR
3884497908,SALE
3884497908,BD
3884497908,CNSL
3887480514,SALE
3887480514,BD
3887721181,ADM
3887721181,HCPR
3884437155,IT
3887715575,HCPR
3840584142,SALE
3840584142,BD
3884439266,HCPR
3887723181,ADM
3884499585,SALE
3884499585,CNSL
3884499585,BD
3887709729,OTHR
3884919732,HCPR
3884922239,HCPR
3884434076,OTHR
3884443368,IT
3887834596,EDU
3887834596,TRNG
3884441631,SALE
3884441631,BD
3887480474,SALE
3887480474,BD
3887722193,ADM
3887716882,FIN
3887716882,SALE
3884912822,SALE
3884912822,BD
3884442502,MGMT
3884442502,MNFC
3887720325,TRNG
3887720325,SALE
3887720325,CUST
3887718823,SCI
3887718823,OTHR
3887485019,SALE
3887485019,BD
3887712117,HCPR
3887719292,HCPR
3884444126,MGMT
3884444126,MNFC
3884436194,LGL
3887838212,LGL
3884923979,HCPR
3885808433,OTHR
3884437291,MGMT
3884437291,MNFC
3887714936,BD
3887714936,SALE
3887716049,OTHR
3884921927,OTHR
3887844313,MGMT
3887844313,MNFC
3884804203,SALE
3884804203,CNSL
3884804203,BD
3884441358,MGMT
3884441358,MNFC
3887494968,EDU
3887494968,TRNG
3884930756,IT
3887856072,RSCH
3887856072,SCI
3887498811,IT
3884924094,HCPR
3887845551,MGMT
3887845551,MNFC
3884443809,ENG
3884443809,DSGN
3884443809,PRJM
3887477794,SALE
3887477794,BD
3884434253,CNSL
3884434253,IT
3884434253,SALE
3887836928,HR
3887859517,OTHR
3887702206,OTHR
3887721293,IT
3884435818,OTHR
3887708096,OTHR
3887844203,SALE
3887844203,BD
3887716890,BD
3887716890,SALE
3887861303,MGMT
3887861303,MNFC
3887839570,MGMT
3887839570,MNFC
3887855712,OTHR
3887861314,BD
3887861314,SALE
3884934666,HR
3887719381,ANLS
3887861593,SALE
3887861593,BD
3887839806,MGMT
3887839806,MNFC
3884439687,MGMT
3884439687,MNFC
3887486251,SALE
3887486251,BD
3884939469,MGMT
3884939469,MNFC
3887862437,SALE
3887862437,BD
3884437331,HCPR
3884920368,GENB
3884920368,MGMT
3884920368,BD
3887841828,OTHR
3887862480,SALE
3887862480,BD
3885816327,MGMT
3885816327,MNFC
3887855994,SALE
3887855994,BD
3887862335,SALE
3887862335,BD
3884921389,MGMT
3884921389,MNFC
3884923215,HCPR
3884803257,SALE
3884803257,CNSL
3884803257,BD
3884440532,SALE
3884440532,BD
3884437728,LGL
3885809404,OTHR
3887856920,OTHR
3887860655,SALE
3887860655,BD
3885811897,GENB
3885811897,MGMT
3885811897,BD
3887857746,SALE
3887857746,BD
3887862156,OTHR
3885819120,MGMT
3885819120,MNFC
3885817034,MGMT
3885817034,MNFC
3884439683,ENG
3884439683,IT
3887498728,ACCT
3887498728,FIN
3887712095,HCPR
3887497495,SALE
3887497495,BD
3887496479,MGMT
3887496479,MNFC
3887708891,HR
3887715616,ACCT
3887856922,SALE
3887856922,BD
3887869623,SCI
3887869623,CNSL
3885813284,MGMT
3885813284,MNFC
3887723190,CUST
3885819089,GENB
3885819089,MGMT
3885819089,BD
3887717230,MGMT
3887717230,MNFC
3885812679,MGMT
3885812679,MNFC
3885812677,MGMT
3885812677,MNFC
3884440531,MGMT
3884440531,MNFC
3884437645,IT
3884821575,OTHR
3884818271,HCPR
3887866033,OTHR
3884812359,HCPR
3884818993,OTHR
3885813174,DSGN
3885813174,ART
3885813174,IT
3887494545,BD
3887494545,SALE
3884446804,MGMT
3884446804,MNFC
3887703117,OTHR
3887713456,FIN
3887713456,MGMT
3887713456,ADM
3887496660,OTHR
3887868707,RSCH
3887868707,ANLS
3887868707,IT
3887714927,IT
3887715919,MGMT
3887715919,MNFC
